session_id,timestamp,success,path_length,execution_time,collision_count,replan_count
20260112_223719,2026-01-12T22:37:21.965319,False,11.313708498984772,0.06960678100585938,0,0
20260117_160812,2026-01-17T16:08:23.222382,False,11.313708498984772,0.09760713577270508,0,0
20260117_160834,2026-01-17T16:08:46.888041,False,11.313708498984772,0.06637954711914062,0,0
20260117_160902,2026-01-17T16:09:21.956001,False,11.313708498984772,0.0718851089477539,0,0
20260128_185356,2026-01-28T18:54:16.650876,True,11.313708498984772,15.884926080703735,0,0
20260128_185717,2026-01-28T18:57:22.053456,False,11.313708498984772,0.11706829071044922,0,0
20260128_185919,2026-01-28T18:59:42.846093,True,11.313708498984772,15.31940221786499,0,0
20260128_190150,2026-01-28T19:02:16.086561,True,11.313708498984772,15.953035116195679,0,0
20260128_192246,2026-01-28T19:22:56.045679,False,11.313708498984772,5.816411018371582,0,0
20260128_192559,2026-01-28T19:26:09.604305,False,11.313708498984772,6.416311502456665,0,0
20260128_192715,2026-01-28T19:27:24.488311,False,11.313708498984772,5.414188623428345,0,0
20260128_193141,2026-01-28T19:31:56.250159,False,11.313708498984772,10.223376035690308,0,0
20260129_115604,2026-01-29T11:56:11.260650,False,11.313708498984772,3.209963798522949,0,0
